rider;1970;1972;1974;1976;1977;1979;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Pierce Jeff;null;null;null;null;null;null;null;null;null;null;7-Eleven;7 Eleven - Hoonved;7 Eleven - Hoonved;7 Eleven - American Airlines;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rondon Abelardo;null;null;null;null;null;null;null;null;null;null;Café de Colombia - Varta;null;null;Reynolds - Banesto;Banesto;Banesto;Gatorade - Chateau d'Ax;Gatorade;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Salvador Ennio;null;null;null;null;null;null;null;null;null;null;Gis Gelati;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Cornillet Bruno;null;null;null;null;null;null;null;null;null;null;Peugeot - Shell;Z - Peugeot;Z - Peugeot;Z - Peugeot;Z - Tomasso;Z-Peugeot;Z - Lemond;Novemail - Histor;Novemail - Histor;Chazal - MBK - König;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Haex Jos;null;null;null;null;null;null;null;null;null;null;Hitachi - Marc - Splendor;Hitachi - Marc - Rossin;Hitachi - Bosal - BCE;Hitachi - VTM;Lotto - Super Club;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Stevenhaagen Peter;null;null;null;null;null;null;null;null;null;null;PDM - Concorde;PDM - GIN MG - Ultima - Concorde;PDM - Ultima - Concorde;Helvetia - La Suisse;null;Helvetia - La Suisse;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Muller Jörg;null;null;null;null;null;null;null;null;null;null;Kas;PDM - GIN MG - Ultima - Concorde;PDM - Ultima - Concorde;PDM;TVM - Toko;null;Helvetia - La Suisse;null;Mapei - Clas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hernandez Omar;null;null;null;null;null;null;null;null;null;null;Postobon;Manzana Postobón;Reynolds;Kelme;Postobón - Manzana - Ryalcao;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Čerin Primož;null;null;null;null;null;null;null;null;null;null;Malvor - Bottecchia;null;null;Carrera Jeans - Vagabond;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Poels Twan;null;null;null;null;null;null;null;null;null;null;Kwantum Hallen - Decosol;null;Superconfex - Yoko - Opel;Superconfex - Yoko - Opel;Buckler - Colnago - Decca;Buckler - Colnago - Decca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Contini Silvano;null;null;null;null;null;null;null;null;null;null;Gis Gelati;Del Tongo - Colnago;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bernard Jean-François;null;null;null;null;null;null;null;null;null;null;La Vie Claire;Toshiba - La Vie Claire;Toshiba;null;Toshiba;Banesto;Banesto;Banesto;Banesto;Chazal - MBK - König;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Van Lancker Eric;null;null;null;null;null;null;null;null;null;null;Panasonic;Panasonic - Isostar;Panasonic - Isostar;null;Panasonic - Sportlife;Panasonic - Sportlife;Panasonic - Sportlife;null;Wordperfect - Colnago - Decca;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lammertink Jos;null;null;null;null;null;null;null;null;null;null;Panasonic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dill-bundi Robert;null;null;null;null;null;null;null;null;null;null;Malvor - Bottecchia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rossignoli Francesco;null;null;null;null;null;null;null;null;null;null;Carrera Jeans - Vagabond;null;null;Fagor - MBK;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Carmichael Chris;null;null;null;null;null;null;null;null;null;null;7-Eleven;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ridaura Vicente Juan;null;null;null;null;null;null;null;null;null;null;Seat - Orbea;null;Caja Rural - Orbea;null;Seur;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Camarillo Angel;null;null;null;null;null;null;null;null;null;null;Zor - BH;null;Teka;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gutiérrez Alfonso;null;null;null;null;null;null;null;null;null;null;Teka;Teka;Teka;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Delaurier Philippe;null;null;null;null;null;null;null;null;null;null;Hitachi - Marc - Splendor;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Alcalá Raúl;null;null;null;null;null;null;null;null;null;null;7-Eleven;7 Eleven - Hoonved;7 Eleven - Hoonved;PDM;PDM - Ultima - Concorde;PDM - Ultima - Concorde;PDM - Ultima - Concorde;Wordperfect - Colnago - Decca;Motorola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Giovannetti Marco;null;null;null;null;null;null;null;null;null;null;Gis Gelati;null;null;null;Seur;Gatorade - Chateau d'Ax;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Arenas Guillermo;null;null;null;null;null;null;null;null;null;null;Teka;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Magnago Walter;null;null;null;null;null;null;null;null;null;null;Gis Gelati;null;Carrera Jeans - Vagabond;Carrera Jeans - Vagabond;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Soler Pedro Jose;null;null;null;null;null;null;null;null;null;null;Café de Colombia - Varta;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Acosta Raul;null;null;null;null;null;null;null;null;null;null;Postobon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Heiden Eric;null;null;null;null;null;null;null;null;null;null;7-Eleven;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Vanotti Ennio;null;null;null;null;null;null;null;null;null;null;Gis Gelati;Del Tongo - Colnago;Chateau d'Ax;Chateau d'Ax;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ferraro Renan;null;null;null;null;null;null;null;null;null;null;Malvor - Bottecchia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pensec Ronan;null;null;null;null;null;null;null;null;null;null;Peugeot - Shell;null;Z - Peugeot;Z - Peugeot;Z - Tomasso;Amaya Seguros;R.M.O.;Novemail - Histor;Novemail - Histor;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Siemons Jan;null;null;null;null;null;null;null;null;null;null;PDM - Concorde;null;null;TVM;TVM - Toko;TVM - Sanyo;TVM - Sanyo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Van Holen Ronny;null;null;null;null;null;null;null;null;null;null;Lotto - Emerxil - Merckx;null;null;ADR - Agrigel - Bottecchia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Allocchio Stefano;null;null;null;null;null;null;null;null;null;null;Malvor - Bottecchia;Supermercati Brianzoli - Chateau d'Ax;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Furlan Luigi;null;null;null;null;null;null;null;null;null;null;Malvor - Bottecchia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
van Wijk Jan;null;null;null;null;null;null;null;null;null;null;PDM - Concorde;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Antequera Francisco José;null;null;null;null;null;null;null;null;null;null;Zor - BH;BH;BH;BH;null;null;Amaya Seguros;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Phinney Davis;null;null;null;null;null;null;null;null;null;null;7-Eleven;7 Eleven - Hoonved;7 Eleven - Hoonved;null;7 Eleven - Hoonved;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Londoño Antonio;null;null;null;null;null;null;null;null;null;null;Postobon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Nijboer Erwin;null;null;null;null;null;null;null;null;null;null;Seat - Orbea;Caja Rural - Orbea;Caja Rural - Orbea;Paternina - Marcos Equizabal;null;null;null;null;Banesto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Uran Heriberto;null;null;null;null;null;null;null;null;null;null;Postobon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bohorquez Argemiro;null;null;null;null;null;null;null;null;null;null;Fagor;Café de Colombia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Salvietti Graziano;null;null;null;null;null;null;null;null;null;null;Gis Gelati;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sarrapio José Angel;null;null;null;null;null;null;null;null;null;null;Teka;null;null;null;Kelme;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hampsten Andrew;null;null;null;null;null;null;null;null;null;null;La Vie Claire;7 Eleven - Hoonved;7 Eleven - Hoonved;7 Eleven - American Airlines;7 Eleven - Hoonved;Motorola;Motorola;Motorola;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Blanco Jesus;null;null;null;null;null;null;null;null;null;null;Teka;Teka;Teka;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Da Silva Acácio;null;null;null;null;null;null;null;null;null;null;Malvor - Bottecchia;Kas - Miko;KAS - Canal 10 - Mavic;Carrera Jeans - Vagabond;Carrera Jeans - Vagabond;null;Lotus - Festina;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Roosen Luc;null;null;null;null;null;null;null;null;null;null;Kwantum Hallen - Decosol;Superconfex - Kwantum - Yoko;null;Histor - Sigma - Fina;null;null;Tulip Computers - Koga;Lotto - Caloi;Lotto - Vetta - Caloi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Roll Bob;null;null;null;null;null;null;null;null;null;null;7-Eleven;7 Eleven - Hoonved;null;null;7 Eleven - Hoonved;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Huger Bruno;null;null;null;null;null;null;null;null;null;null;RMO;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Boyer Eric;null;null;null;null;null;null;null;null;null;null;Système U;null;Système U;Z - Peugeot;Z - Tomasso;Z-Peugeot;Z - Lemond;GAN - Lemond;null;Polti - Granarolo - Santini;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Van Orsouw Marc;null;null;null;null;null;null;null;null;null;null;PDM - Concorde;null;PDM - Ultima - Concorde;PDM;null;Panasonic - Sportlife;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lauritzen Dag-Otto;null;null;null;null;null;null;null;null;null;null;Peugeot - Shell;7 Eleven - Hoonved;7 Eleven - Hoonved;7 Eleven - American Airlines;7 Eleven - Hoonved;Motorola;null;TVM - Bison Kit;TVM - Bison Kit;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
